country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB","04-04-2025 15:00:00",19.0243902,73.0406721,NH3,6,9,7
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB","04-04-2025 15:00:00",19.309073,73.057223,PM2.5,28,53,41
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB","04-04-2025 15:00:00",19.309073,73.057223,PM10,43,80,63
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB","04-04-2025 15:00:00",19.309073,73.057223,NH3,3,6,4
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB","04-04-2025 15:00:00",19.309073,73.057223,CO,16,28,21
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB","04-04-2025 15:00:00",19.962900,79.298714,SO2,18,21,19
India,Maharashtra,Aurangabad,"Rachnakar Colony, Aurangabad - MPCB","04-04-2025 15:00:00",19.863756,75.321188,OZONE,33,119,102
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB","04-04-2025 15:00:00",19.16485,73.23409,PM2.5,53,94,64
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB","04-04-2025 15:00:00",19.16485,73.23409,SO2,4,17,9
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB","04-04-2025 15:00:00",19.875620,75.387310,OZONE,29,84,52
India,Maharashtra,Akola,"Ramdaspeth, Akola - MPCB","04-04-2025 15:00:00",20.719516,77.000253,PM10,48,108,68
India,"Madhya Pradesh",Sagar,"Civil Lines, Sagar - MPPCB","04-04-2025 15:00:00",23.838586,78.759431,NH3,1,1,1
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB","04-04-2025 15:00:00",19.854616,75.905894,NO2,38,86,49
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB","04-04-2025 15:00:00",19.854616,75.905894,SO2,1,4,1
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB","04-04-2025 15:00:00",19.25292,73.142019,PM2.5,54,79,66
India,Maharashtra,Chandrapur,"MIDC Khutala, Chandrapur - MPCB","04-04-2025 15:00:00",19.9775302,79.2337086,SO2,NA,NA,NA
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB","04-04-2025 15:00:00",20.918946,74.776388,PM10,57,94,75
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB","04-04-2025 15:00:00",20.918946,74.776388,NH3,1,17,12
India,Maharashtra,Dhule,"Deopur, Dhule - MPCB","04-04-2025 15:00:00",20.918946,74.776388,OZONE,25,88,58
India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB","04-04-2025 15:00:00",16.6870449,74.2505872,PM2.5,15,32,22
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur - MPCB","04-04-2025 15:00:00",19.962900,79.298714,OZONE,20,24,23
India,Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB","04-04-2025 15:00:00",18.1023399,73.4783687,NH3,4,21,8
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB","04-04-2025 15:00:00",16.7143745,74.2426398,SO2,NA,NA,NA
India,Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB","04-04-2025 15:00:00",19.25292,73.142019,OZONE,16,16,16
India,Maharashtra,Latur,"Sawe Wadi, Latur - MPCB","04-04-2025 15:00:00",18.39963,76.57452,SO2,NA,NA,NA
India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB","04-04-2025 15:00:00",18.910000,72.820000,NO2,27,28,27
India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB","04-04-2025 15:00:00",18.910000,72.820000,CO,26,27,26
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM","04-04-2025 15:00:00",19.04946,72.9230,PM2.5,27,120,57
India,Maharashtra,Mumbai,"Deonar, Mumbai - IITM","04-04-2025 15:00:00",19.04946,72.9230,NO2,16,46,23
India,Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC","04-04-2025 15:00:00",19.083694,72.920967,PM10,46,67,56
India,Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC","04-04-2025 15:00:00",19.083694,72.920967,NH3,2,5,3
India,Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC","04-04-2025 15:00:00",19.083694,72.920967,CO,6,15,12
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB","04-04-2025 15:00:00",19.065931,72.862131,CO,16,96,56
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM","04-04-2025 15:00:00",19.23241,72.86895,PM10,58,94,76
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM","04-04-2025 15:00:00",19.23241,72.86895,NH3,5,6,6
India,Maharashtra,Mumbai,"Borivali East, Mumbai - IITM","04-04-2025 15:00:00",19.23241,72.86895,OZONE,2,38,22
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC","04-04-2025 15:00:00",18.9767,72.8380,PM2.5,28,51,40
India,Maharashtra,Mumbai,"Kandivali East, Mumbai - MPCB","04-04-2025 15:00:00",19.205800,72.868200,NO2,NA,NA,NA
India,Maharashtra,Mumbai,"Kandivali West, Mumbai - BMC","04-04-2025 15:00:00",19.215859,72.831718,PM2.5,24,52,40
India,Maharashtra,Mumbai,"Kandivali West, Mumbai - BMC","04-04-2025 15:00:00",19.215859,72.831718,PM10,30,70,45
India,Maharashtra,Mumbai,"Kandivali West, Mumbai - BMC","04-04-2025 15:00:00",19.215859,72.831718,OZONE,11,24,15
India,Maharashtra,Mumbai,"Kherwadi_Bandra East, Mumbai - MPCB","04-04-2025 15:00:00",19.0632143,72.8456324,NH3,4,17,9
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB","04-04-2025 15:00:00",19.296481,72.840923,SO2,1,1,1
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB","04-04-2025 15:00:00",19.296481,72.840923,CO,14,35,19
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB","04-04-2025 15:00:00",19.065931,72.862131,NH3,5,12,8
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB","04-04-2025 15:00:00",20.555712,74.529236,SO2,33,44,35
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB","04-04-2025 15:00:00",20.555712,74.529236,CO,18,64,30
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB","04-04-2025 15:00:00",19.296481,72.840923,PM2.5,28,49,37
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB","04-04-2025 15:00:00",19.0863,72.8888,PM10,78,126,101
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB","04-04-2025 15:00:00",19.0863,72.8888,SO2,36,37,37
India,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB","04-04-2025 15:00:00",19.0863,72.8888,OZONE,27,29,28
India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB","04-04-2025 15:00:00",19.10078,72.87462,PM10,74,82,77
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB","04-04-2025 15:00:00",19.0364585,72.8954371,NO2,16,49,27
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC","04-04-2025 15:00:00",18.9767,72.8380,OZONE,16,43,35
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM","04-04-2025 15:00:00",19.000083,72.813993,CO,36,68,60
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB","04-04-2025 15:00:00",19.047000,72.874600,PM2.5,68,77,73
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB","04-04-2025 15:00:00",19.047000,72.874600,SO2,6,12,8
India,Maharashtra,Mumbai,"Sion, Mumbai - MPCB","04-04-2025 15:00:00",19.047000,72.874600,OZONE,5,5,5
India,Maharashtra,Mumbai,"Vasai West, Mumbai - MPCB","04-04-2025 15:00:00",19.383200,72.820400,NO2,47,88,58
India,Maharashtra,Mumbai,"Vasai West, Mumbai - MPCB","04-04-2025 15:00:00",19.383200,72.820400,CO,48,76,59
India,Maharashtra,Mumbai,"Vasai West, Mumbai - MPCB","04-04-2025 15:00:00",19.383200,72.820400,OZONE,6,7,7
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB","04-04-2025 15:00:00",19.1878657,72.8304069,NO2,2,31,13
India,Maharashtra,Mumbai,"Mindspace-Malad West, Mumbai - MPCB","04-04-2025 15:00:00",19.1878657,72.8304069,SO2,2,23,7
India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM","04-04-2025 15:00:00",18.897756,72.813320,NO2,13,46,20
India,Maharashtra,Mumbai,"Navy Nagar-Colaba, Mumbai - IITM","04-04-2025 15:00:00",18.897756,72.813320,CO,6,40,28
India,Maharashtra,Mumbai,"Powai, Mumbai - MPCB","04-04-2025 15:00:00",19.137500,72.915056,NO2,7,9,8
India,Maharashtra,Mumbai,"Vile Parle West, Mumbai - MPCB","04-04-2025 15:00:00",19.10861,72.83622,PM2.5,31,44,38
India,Maharashtra,Mumbai,"Worli, Mumbai - MPCB","04-04-2025 15:00:00",18.9936162,72.8128113,SO2,5,11,7
India,Maharashtra,Mumbai,"Worli, Mumbai - MPCB","04-04-2025 15:00:00",18.9936162,72.8128113,OZONE,NA,NA,NA
India,Maharashtra,Nagpur,"Ambazari, Nagpur - MPCB","04-04-2025 15:00:00",21.121801,79.04952,SO2,7,26,11
India,Maharashtra,Nagpur,"Ambazari, Nagpur - MPCB","04-04-2025 15:00:00",21.121801,79.04952,OZONE,1,96,41
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB","04-04-2025 15:00:00",21.14472,79.107595,NO2,37,69,52
India,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB","04-04-2025 15:00:00",21.152875,79.0517531,PM2.5,49,89,73
India,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB","04-04-2025 15:00:00",21.152875,79.0517531,PM10,57,122,84
India,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB","04-04-2025 15:00:00",21.152875,79.0517531,CO,24,115,36
India,Maharashtra,Nashik,"Hirawadi, Nashik - MPCB","04-04-2025 15:00:00",20.021503,73.813844,SO2,4,17,9
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB","04-04-2025 15:00:00",19.950220,73.731480,PM2.5,50,311,141
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC","04-04-2025 15:00:00",19.060498,72.923356,NH3,1,1,1
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC","04-04-2025 15:00:00",19.060498,72.923356,OZONE,4,47,23
India,Maharashtra,Nagpur,"Ram Nagar, Nagpur - MPCB","04-04-2025 15:00:00",21.143383,79.048912,NH3,7,16,11
India,Maharashtra,Nagpur,"Ram Nagar, Nagpur - MPCB","04-04-2025 15:00:00",21.143383,79.048912,OZONE,1,50,29
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC","04-04-2025 15:00:00",19.000084,72.856730,CO,10,20,15
India,Maharashtra,Mumbai,"Sewri, Mumbai - BMC","04-04-2025 15:00:00",19.000084,72.856730,OZONE,12,32,22
India,Maharashtra,Pimpri-Chinchwad,"Park Street Wakad, Pimpri Chinchwad - MPCB","04-04-2025 15:00:00",18.59051,73.77946,PM10,NA,NA,NA
India,Maharashtra,Pimpri-Chinchwad,"Park Street Wakad, Pimpri Chinchwad - MPCB","04-04-2025 15:00:00",18.59051,73.77946,SO2,NA,NA,NA
India,Maharashtra,Pimpri-Chinchwad,"Savta Mali Nagar, Pimpri-Chinchwad - IITM","04-04-2025 15:00:00",18.614767,73.799516,PM2.5,64,330,116
India,Maharashtra,Pimpri-Chinchwad,"Savta Mali Nagar, Pimpri-Chinchwad - IITM","04-04-2025 15:00:00",18.614767,73.799516,NO2,22,113,67
India,Maharashtra,Pimpri-Chinchwad,"Thergaon, Pimpri Chinchwad - MPCB","04-04-2025 15:00:00",18.616318,73.765797,SO2,1,5,2
India,Maharashtra,Pune,"Bhosari, Pune - IITM","04-04-2025 15:00:00",18.640051,73.848956,PM2.5,47,89,73
India,Maharashtra,Pune,"Bhosari, Pune - IITM","04-04-2025 15:00:00",18.640051,73.848956,OZONE,1,88,46
India,Maharashtra,Pune,"Bhumkar Nagar, Pune - IITM","04-04-2025 15:00:00",18.605770,73.749976,PM2.5,43,192,67
India,Maharashtra,"Navi Mumbai","Sector-2E Kalamboli, Navi Mumbai - MPCB","04-04-2025 15:00:00",19.02579,73.10297,OZONE,3,48,22
India,Maharashtra,"Navi Mumbai","Tondare-Taloja, Navi Mumbai - MPCB","04-04-2025 15:00:00",19.0630,73.1209,SO2,1,3,1
India,Maharashtra,Parbhani,"Masoom Colony, Parbhani - MPCB","04-04-2025 15:00:00",19.265594,76.761463,PM2.5,18,45,34
India,Maharashtra,Parbhani,"Masoom Colony, Parbhani - MPCB","04-04-2025 15:00:00",19.265594,76.761463,NO2,10,29,16
India,Maharashtra,Parbhani,"Masoom Colony, Parbhani - MPCB","04-04-2025 15:00:00",19.265594,76.761463,SO2,20,33,23
India,Maharashtra,Pimpri-Chinchwad,"Gavalinagar, Pimpri Chinchwad - MPCB","04-04-2025 15:00:00",18.63673,73.82487,PM2.5,24,97,52
India,Maharashtra,Pimpri-Chinchwad,"Gavalinagar, Pimpri Chinchwad - MPCB","04-04-2025 15:00:00",18.63673,73.82487,NH3,6,9,8
India,Maharashtra,Pune,"Hadapsar, Pune - IITM","04-04-2025 15:00:00",18.501793,73.927532,PM2.5,30,140,56
India,Maharashtra,Pune,"Hadapsar, Pune - IITM","04-04-2025 15:00:00",18.501793,73.927532,PM10,41,175,86
India,Maharashtra,Pune,"Hadapsar, Pune - IITM","04-04-2025 15:00:00",18.501793,73.927532,OZONE,2,114,53
India,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB","04-04-2025 15:00:00",18.454450,73.854155,PM2.5,NA,NA,NA
India,Maharashtra,Pune,"Katraj Dairy, Pune - MPCB","04-04-2025 15:00:00",18.454450,73.854155,PM10,NA,NA,NA
India,Maharashtra,Pune,"Mhada Colony, Pune - IITM","04-04-2025 15:00:00",18.573040,73.927715,PM10,117,164,129
India,Maharashtra,Nashik,"MIDC Ambad, Nashik - MPCB","04-04-2025 15:00:00",19.950220,73.731480,NH3,1,8,4
India,Maharashtra,Nashik,"Pandav Nagari, Nashik - MPCB","04-04-2025 15:00:00",19.9591346,73.7788008,SO2,NA,NA,NA
India,Maharashtra,Nashik,"Pandav Nagari, Nashik - MPCB","04-04-2025 15:00:00",19.9591346,73.7788008,CO,3,28,9
India,Maharashtra,Pune,"Revenue Colony-Shivajinagar, Pune - IITM","04-04-2025 15:00:00",18.530085,73.849598,PM10,110,153,132
India,Maharashtra,Pune,"Revenue Colony-Shivajinagar, Pune - IITM","04-04-2025 15:00:00",18.530085,73.849598,NO2,126,179,148
India,Maharashtra,"Navi Mumbai","Sector-2E Kalamboli, Navi Mumbai - MPCB","04-04-2025 15:00:00",19.02579,73.10297,PM2.5,48,102,59
India,Maharashtra,"Navi Mumbai","Sanpada, Navi Mumbai - MPCB","04-04-2025 15:00:00",19.0575752,73.0151367,NO2,17,53,29
India,Maharashtra,Pune,"Panchawati_Pashan, Pune - IITM","04-04-2025 15:00:00",18.536457,73.805454,PM2.5,45,82,61
India,Maharashtra,Pune,"Panchawati_Pashan, Pune - IITM","04-04-2025 15:00:00",18.536457,73.805454,NO2,17,55,35
India,Nagaland,Kohima,"PWD Juction, Kohima - NPCB","04-04-2025 15:00:00",25.6635413,94.0989878,CO,4,25,11
India,Odisha,Angul,"Hakimapada, Angul - OSPCB","04-04-2025 15:00:00",20.832874,85.104082,OZONE,5,59,34
India,Odisha,Balasore,"Kalidaspur, Balasore - OSPCB","04-04-2025 15:00:00",21.51161,86.89088,CO,36,55,49
India,Odisha,Barbil,"Forest Office, Barbil - OSPCB","04-04-2025 15:00:00",22.1166054,85.3945546,PM2.5,57,137,81
India,Odisha,Baripada,"Meher Colony, Baripada - OSPCB","04-04-2025 15:00:00",21.941841,86.728318,PM10,59,94,78
India,Maharashtra,Pune,"Savitribai Phule Pune University, Pune - MPCB","04-04-2025 15:00:00",18.547056,73.826908,CO,22,43,31
India,Maharashtra,Sangli,"Vijay Nagar, Sangli - MPCB","04-04-2025 15:00:00"," 16.5038",74.3623,CO,16,48,24
India,Maharashtra,Solapur,"Dnyaneshwar Nagar, Solapur - MPCB","04-04-2025 15:00:00",17.6336264,75.9132495,NO2,5,23,11
India,Maharashtra,Solapur,"Dnyaneshwar Nagar, Solapur - MPCB","04-04-2025 15:00:00",17.6336264,75.9132495,NH3,10,14,11
India,Maharashtra,Solapur,"Dnyaneshwar Nagar, Solapur - MPCB","04-04-2025 15:00:00",17.6336264,75.9132495,CO,11,23,15
India,Maharashtra,Virar,"Bolinj, Virar - MPCB","04-04-2025 15:00:00",19.4458210,72.7988231,NO2,9,36,20
India,Maharashtra,Virar,"Bolinj, Virar - MPCB","04-04-2025 15:00:00",19.4458210,72.7988231,SO2,NA,NA,NA
India,Maharashtra,Virar,"Bolinj, Virar - MPCB","04-04-2025 15:00:00",19.4458210,72.7988231,CO,12,101,46
